單位,단위
該當,해당
例示,예시
浮刻,부각
p,61
統一,통일
緊密,긴밀
完結,완결
集中,집중
充實,충실
展開,전개
答辯,답변
p,62
方法,방법
結束,결속
連續,연속
技法,기법
個別,개별
p,63
確認,확인
傾向,경향
立場,입장
沒入,몰입
脫出,탈출
p,64
提出,제출
視線,시선
事實,사실
確保,확보
配置,배치
誤字,오자
脫子,탈자
p,65
過程,과정
派生,파생
奇拔,기발
未練,미련
嚴格,엄격
保管,보관
p,79
定義,정의
用語,용어
明確,명확
意味,의미
同一,동일
共有,공유
讀者,독자
使用,사용
想起,상기
原則,원칙
p,80
浪漫主義,낭만주의
脈絡,맥락
特徵,특징
幻想,환상
想像,상상
典型,전형
辭典,사전
留意,유의
種差,종차
思潮,사조
廣範圍,광범위
大學校,대학교
高等,고등
p,81
卒業,졸업
進學,진학
補助,보조
動員,동원
割愛,할애
語源,어원
作動,작동
一助,일조
簡略,간략
同義語,동의어
表示,표시
p,82
生態,생태
匿名,익명
p,83
單純,단순
平易,평이
特性,특성
固有,고유
形態,형태
排除,배제
保障,보장
飛行機,비행기
經驗,경험
不快感,불쾌감
運送,운송
機關,기관
p,84
荷重,하중
構造,구조
部材,부재
西歐人,서구인
p,99
分類,분류
槪念,개념
類型,유형
歸屬,귀속
區分,구분
基準,기준
構成,구성
體系,체계
抽象,추상
憲法,헌법
槪括,개괄
微生物,미생물
動物,동물
植物,식물
範疇,범주
p,100
衣類,의류
便利,편리
百貨店,백화점
商品,상품
種類,종류
用途,용도
購買,구매
認識,인식
還元,환원
土臺,토대
秩序,질서
限界,한계
思考,사고
p,101
賦與,부여
符合,부합
愼重,신중
産物,산물
屬性,속성
個體,개체
集合,집합
下位,하위
p,102
除外,제외
同等,동등
階層,계층
段階,단계
位階,위계
成立,성립
成層的,성층적
p,103
分析,분석
有機的,유기적
含蓄,함축
循環,순환
神經,신경
消化,소화
排泄,배설
生殖,생식
器官,기관
部位,부위
體質,체질
p,104
韓醫學,한의학
長篇,장편
中篇,중편
短篇,단편
哲學,철학
p,122
比較,비교
特性,특성
說明,설명
事物,사물
側面,측면
漢文,한문
共同,공동
文語,문어
宗敎,종교
經典,경전
巨大,거대
帝國,제국
公用,공용
定立,정립
竝列,병렬
重點,중점
對照,대조
p,123
意義,의의
指標,지표
時間,시간
空間,공간
連續,연속
作業,작업
複雜,복잡
p,124
混亂,혼란
共通,공통
差異,차이
長點,장점
短點,단점
類推,유추
親熟,친숙
比喩,비유
特別,특별
p,125
次元,차원
地平線,지평선
軌道,궤도
安着,안착
天體,천체
力學,역학
物理學,물리학
地上,지상
宇宙,우주
運行,운행
物質,물질
有機體,유기체
要因,요인
人工,인공
淘汰,도태
無數,무수
到達,도달
增加,증가
貧困,빈곤
病弱,병약
飢餓,기아
生滅,생멸
模倣,모방
有力,유력
革新,혁신
p,126
重力,중력
法則,법칙
進化,진화
原理,원리
連結,연결
p,146
敍事,서사
事件,사건
行爲,행위
結果,결과
原因,원인
理由,이유
因果,인과
記事,기사
自敍傳,자서전
歷史,역사
現場,현장
領域,영역
陳述,진술
要素,요소
捕捉,포착
實體,실체
進行,진행
系列,계열
p,147
順序,순서
敍述,서술
繼起,계기
適切,적절
爆發,폭발
提示,제시
場面,장면
簡潔,간결
加速,가속
緊張,긴장
表出,표출
視點,시점
觀察,관찰
公正,공정
重視,중시
小說,소설
間隔,간격
p,148
神話,신화
傳說,전설
指針,지침
人物,인물
本格,본격
報道,보도
比率,비율
縮小,축소
擴大,확대
活用,활용
紹介,소개
背景,배경
水準,수준
經過,경과
數値,수치
統計,통계
圖表,도표
寫眞,사진
p,149
最近,최근
映畵,영화
漫畵,만화
放送局,방송국
媒體,매체
p,165
描寫,묘사
事物,사물
狀況,상황
再現,재현
方式,방식
記述,기술
印象,인상
主觀的,주관적
客觀的,객관적
不安,불안
歡喜,환희
穀食,곡식
騷擾,소요
歡聲,환성
寫實的,사실적
觸發,촉발
感覺,감각
p,166
彫刻,조각
回傳,회전
形象/形像,형상
時計,시계
通常的,통상적
混用,혼용
均等,균등
分割,분할
圓形,원형
着陸,착륙
接近,접근
民主,민주
p,167
想像,상상
刺戟,자극
共感,공감
支配,지배
效果,효과
一貫,일관
維持,유지
性質,성질
固定,고정
移動,이동
總體的,총체적
寄與,기여
中心的,중심적
附隨的,부수적
判別,판별
列擧,열거
全體,전체
部分,부분
斜線,사선
p,168
記述,기술
有意性,유의성
細部的,세부적
鮮明,선명
槪觀,개관
配置,배치
距離,거리
速度,속도
質量,질량
額數,액수
計量的,계량적
數値的,수치적
生動感,생동감
語彙,어휘
象徵,상징
影響,영향
p,184
論證,논증
問題,문제
根據,근거
證明,증명
論題,논제
日常生活,일상생활
新聞,신문
社說,사설
論據,논거
推論,추론
訓練,훈련
p,185
命題,명제
眞實,진실
事實,사실
個人,개인
當爲,당위
政策,정책
善惡,선악
價値,가치
立證,입증
權威,권위
證言,증언
目擊,목격
著名,저명
心理,심리
明確,명확
疑惑,의혹
p,186
演繹,연역
歸納,귀납
一般,일반
眞理,진리
基礎,기초
導出,도출
前提,전제
三段,삼단
論法,논법
確率,확률
蓋然性,개연성
豫測,예측
人權,인권
注意,주의
認定,인정
論理,논리
特殊,특수
飛躍,비약
p,187
限界,한계
結局,결국
充足,충족
性向,성향
p,188
批判,비판
豫想,예상
反論,반론
對備,대비
提起,제기
理致,이치
例文,예문
高潔,고결
缺點,결점
追悼辭,추도사
高邁,고매
冷酷,냉혹
p,189
禽獸,금수
指摘,지적
誤謬,오류
缺陷,결함
補强,보강
觀點,관점
例外,예외
糾明,규명
p,198
活動,활동
論議,논의
綿密,면밀
整理,정리
調査,조사
正確,정확
理解,이해
把握,파악
精讀,정독
情密,정밀
要約,요약
經濟的,경제적
最小,최소
適用,적용
果敢,과감
削除,삭제
處地,처지
省略,생략
最善,최선
p,199
判斷,판단
年度,년도
論評,논평
餘談,여담
推測,추측
敷衍,부연
末尾,말미
原文,원문
獨自性,독자성
見解,견해
追加,추가
完成,완성
普通,보통
p,238
感想,감상
批評,비평
藝術,예술
作品,작품
著作,저작
社會,사회
現像,현상
樣式,양식
音樂,음악
政治,정치
文化,문화
讀後感,독후감
書評,서평
解釋,해석
思惟,사유
書評,서평
內容,내용
開陣,개진
總括,총괄
檢討,검토
測定,측정
評價,평가
解說,해설
p,239
一目瞭然,일목요연
內面,내면
隨伴,수반
缺如,결여
消耗,소모
轉落,전락
豊富,풍부
契機,계기
作用,작용
p,258
報告書,보고서
作成,작성
目的,목적
行事,행사
實驗,실험
疑問,의문
資料,자료
提供,제공
解決,해결
專門,전문
從事,종사
踏査,답사
地域,지역
減少,감소
樹立,수립
蒐集,수집
p,259
發見,발견
綜合,종합
詳細,상세
反映,반영
必要,필요
動機,동기
p,260
提案書,제안서
構想,구상
企業,기업
團體,단체
顧客,고객
要請書,요청서
日程,일정
費用,비용
企劃,기획
計劃,계획
承認,승인
資金,자금
